"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.611740740E-1,3.210111856E0,-4.539537430E-2,6.448816776E0,7.203757123E0
6.636690720E-1,2.763024330E0,-2.217669487E-1,6.869462013E0,7.407630686E0
6.661638440E-1,2.362066507E0,-4.343605042E-1,7.284275532E0,7.669986783E0
6.686589190E-1,1.928027153E0,-6.276531219E-1,7.661773682E0,7.925529200E0
6.711536900E-1,1.471230268E0,-8.239107132E-1,8.118137360E0,8.291411313E0
6.736485360E-1,1.099410772E0,-9.692249298E-1,8.576585770E0,8.700915152E0
6.761433050E-1,7.284526825E-1,-1.170401573E0,9.026071548E0,9.130742070E0
6.786383070E-1,4.227030277E-1,-1.361780167E0,9.346489906E0,9.454628318E0
6.811330790E-1,1.309225559E-1,-1.621473789E0,9.635639191E0,9.771993685E0
6.836279230E-1,-1.297791004E-1,-1.829782963E0,9.822061539E0,9.991888769E0
6.861226940E-1,-3.537871838E-1,-2.060529232E0,9.949106216E0,1.016639860E1
6.886176920E-1,-5.424401760E-1,-2.277773142E0,9.883445740E0,1.015701686E1
6.911124440E-1,-7.412779331E-1,-2.563257933E0,9.791023254E0,1.014809936E1
6.936075190E-1,-9.187507629E-1,-2.784401655E0,9.533192635E0,9.973903817E0
6.961022900E-1,-1.098551750E0,-3.010583878E0,9.247930527E0,9.787474151E0
6.985971360E-1,-1.328077316E0,-3.196521044E0,8.844755173E0,9.497959265E0
7.010919060E-1,-1.593306065E0,-3.416565895E0,8.477182388E0,9.277616503E0
7.035868940E-1,-1.870316267E0,-3.577741861E0,8.086282730E0,9.038046700E0
7.060816650E-1,-2.173166037E0,-3.664955139E0,7.675241470E0,8.778603444E0
7.085765090E-1,-2.492873669E0,-3.730046749E0,7.291941166E0,8.561546230E0
7.110712800E-1,-2.798951864E0,-3.859017134E0,7.008553982E0,8.476200428E0
7.135662640E-1,-3.101102352E0,-3.930476189E0,6.691489697E0,8.357123502E0
7.160611130E-1,-3.382123470E0,-4.063813686E0,6.448563576E0,8.338903587E0
7.185561110E-1,-3.663402557E0,-4.113698006E0,6.202540398E0,8.295452788E0
7.210508820E-1,-3.926622629E0,-4.214405060E0,6.027025223E0,8.336942384E0
7.235457260E-1,-4.180004597E0,-4.255793571E0,5.818985939E0,8.333355549E0
7.260405110E-1,-4.425349712E0,-4.349142075E0,5.723894596E0,8.441666080E0
7.285355090E-1,-4.677044868E0,-4.326210022E0,5.612032890E0,8.490333033E0
7.310302800E-1,-4.883278847E0,-4.399837971E0,5.533893108E0,8.592377983E0
7.335251250E-1,-5.115077496E0,-4.417565346E0,5.407314301E0,8.655515543E0
7.360201250E-1,-5.296910286E0,-4.505950451E0,5.412742615E0,8.812413441E0
7.385149540E-1,-5.470314980E0,-4.527802467E0,5.340829372E0,8.885369972E0
7.410097230E-1,-5.579936028E0,-4.645208836E0,5.312664032E0,8.996557692E0
7.435047210E-1,-5.695884705E0,-4.700752258E0,5.269217014E0,9.072200522E0
7.459994920E-1,-5.766977310E0,-4.816700459E0,5.231735706E0,9.155855455E0
7.484943360E-1,-5.877296448E0,-4.834051609E0,5.171684265E0,9.200923140E0
7.509891030E-1,-5.917629719E0,-4.924726486E0,5.182020664E0,9.280334618E0
7.534841010E-1,-5.965508461E0,-4.955735207E0,5.085528851E0,9.274114854E0
7.559789490E-1,-5.991829872E0,-5.076816559E0,5.052449226E0,9.338272580E0
7.584737180E-1,-6.021800995E0,-5.131258011E0,4.936773777E0,9.325429283E0
7.609687160E-1,-6.009542465E0,-5.263669968E0,4.855732441E0,9.348741076E0
7.634635590E-1,-6.034489155E0,-5.356606007E0,4.752033234E0,9.364299607E0
7.659583280E-1,-6.116834641E0,-5.342382908E0,4.545270920E0,9.306782951E0
7.684530980E-1,-6.152957439E0,-5.438323021E0,4.368039131E0,9.301290684E0
7.709480960E-1,-6.220067978E0,-5.459925652E0,4.099724293E0,9.236220712E0
7.734428670E-1,-6.313599586E0,-5.496563911E0,3.839515686E0,9.209540449E0
7.759379170E-1,-6.444504738E0,-5.448614597E0,3.472033501E0,9.125462124E0
7.784326880E-1,-6.575588226E0,-5.393639565E0,3.062966824E0,9.039439918E0
