"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.996373080E-1,4.265021682E-1,-3.889510632E-1,-1.437485218E0,1.549048347E0
6.021323850E-1,2.505195141E-1,-3.636310101E-1,-1.399327278E0,1.467346029E0
6.046274510E-1,6.143357232E-2,-3.160464764E-1,-1.349178314E0,1.387062213E0
6.071225280E-1,-1.722734571E-1,-2.734608650E-1,-1.291954041E0,1.331767334E0
6.096176050E-1,-3.685720563E-1,-2.426686287E-1,-1.203034878E0,1.281415757E0
6.121126820E-1,-5.404613614E-1,-1.792063713E-1,-1.051694870E0,1.195941264E0
6.146079900E-1,-6.983328462E-1,-1.589264870E-1,-9.384498596E-1,1.180514520E0
6.171028330E-1,-8.805928826E-1,-1.075916290E-1,-8.300867081E-1,1.214933630E0
6.195979080E-1,-1.018664837E0,-5.952167511E-2,-6.965980530E-1,1.235503835E0
6.220929850E-1,-1.158265591E0,3.071784973E-3,-5.558300018E-1,1.284731725E0
6.245880620E-1,-1.251639485E0,7.062435150E-2,-3.450374603E-1,1.300246150E0
6.270831390E-1,-1.287523389E0,9.738111496E-2,-2.041406631E-1,1.307238681E0
6.295782210E-1,-1.327324390E0,8.236122131E-2,-8.643054962E-2,1.332682876E0
6.320732980E-1,-1.317753792E0,5.028486252E-2,8.071899414E-2,1.321180979E0
6.345683750E-1,-1.244646072E0,-3.976774216E-2,2.284832001E-1,1.266068676E0
6.370634520E-1,-1.188049555E0,-1.293554306E-1,3.937816620E-1,1.258276031E0
6.395585290E-1,-1.095033050E0,-2.291522026E-1,5.089311600E-1,1.229072430E0
6.420536210E-1,-1.016613245E0,-3.411073685E-1,6.199131012E-1,1.238607678E0
6.445486220E-1,-9.074366689E-1,-4.312019348E-1,6.935863495E-1,1.220835141E0
6.470437740E-1,-8.526670337E-1,-5.147168636E-1,7.419128418E-1,1.241937673E0
6.495387760E-1,-7.913026810E-1,-5.403437614E-1,7.903289795E-1,1.242075364E0
6.520339280E-1,-7.213088870E-1,-5.322248936E-1,8.488607407E-1,1.234550284E0
6.545290070E-1,-6.723003387E-1,-5.092902184E-1,8.990077972E-1,1.232712169E0
6.570240840E-1,-6.268888712E-1,-4.704663754E-1,9.075984955E-1,1.199192769E0
6.595191610E-1,-5.611631870E-1,-4.527199268E-1,8.736524582E-1,1.132752432E0
6.620142380E-1,-4.801680446E-1,-3.950219154E-1,8.224706650E-1,1.031048815E0
6.645092380E-1,-4.159494042E-1,-3.762462139E-1,7.233095169E-1,9.152878114E-1
6.670043230E-1,-2.904805541E-1,-3.429324627E-1,6.130352020E-1,7.601274796E-1
6.694994000E-1,-1.794272512E-1,-3.350708485E-1,4.946641922E-1,6.238263180E-1
6.719944770E-1,-5.705624819E-2,-2.842459679E-1,3.563785553E-1,4.594092515E-1
6.744895540E-1,4.634273797E-2,-2.701439857E-1,2.341175079E-1,3.604669609E-1
6.769846300E-1,1.717890203E-1,-2.305421829E-1,1.174869537E-1,3.105871052E-1
6.794797210E-1,2.410412878E-1,-1.674103737E-1,-3.282642365E-2,2.953044357E-1
6.819747980E-1,3.177700043E-1,-1.221389771E-1,-1.600198746E-1,3.761676031E-1
6.844698750E-1,3.868105114E-1,-9.249353409E-2,-2.999992371E-1,4.981736322E-1
6.869649520E-1,4.588720202E-1,-7.206726074E-2,-4.816865921E-1,6.691630549E-1
6.894600290E-1,4.889265895E-1,-4.203176498E-2,-7.132883072E-1,8.657921739E-1
6.919551260E-1,5.264459848E-1,-3.990125656E-2,-8.757815361E-1,1.022609791E0
6.944502030E-1,5.279166698E-1,-4.594898224E-2,-9.747853279E-1,1.109510592E0
6.969452800E-1,5.246574879E-1,-1.988697052E-2,-1.005244732E0,1.134097854E0
6.994403570E-1,5.135352015E-1,1.665687561E-2,-8.908896446E-1,1.028435809E0
7.019354530E-1,4.540362656E-1,2.758407593E-2,-7.223882675E-1,8.536712604E-1
7.044305300E-1,4.251210392E-1,5.792760849E-2,-5.237903595E-1,6.770818610E-1
7.069256070E-1,3.563765585E-1,5.415487289E-2,-3.354454041E-1,4.924029050E-1
7.094204550E-1,2.700621486E-1,5.019187927E-2,-1.820096970E-1,3.295152783E-1
7.119155300E-1,2.339085042E-1,5.057811737E-2,-6.941509247E-2,2.491782281E-1
7.144108270E-1,1.619085073E-1,2.957820892E-2,2.163505554E-2,1.660039482E-1
7.169059060E-1,1.209584996E-1,-2.847194672E-2,1.365346909E-1,1.846167170E-1
7.194009830E-1,6.290850043E-2,-7.347154617E-2,2.226352692E-1,2.427385643E-1
7.218960600E-1,1.181000471E-2,-1.199264526E-1,3.248128891E-1,3.464465950E-1
7.243911370E-1,4.805356264E-3,-1.067399979E-1,4.444942474E-1,4.571560506E-1
7.268859830E-1,-3.107291460E-2,-1.311130524E-1,5.897130966E-1,6.049113116E-1
7.293812890E-1,-7.884950936E-2,-1.032047272E-1,7.005329132E-1,7.124709281E-1
7.318761370E-1,-1.205002367E-1,-1.000103951E-1,8.275556564E-1,8.422415038E-1
7.343712120E-1,-1.400473714E-1,-8.663225174E-2,9.730272293E-1,9.868639229E-1
7.368662890E-1,-2.027318776E-1,-7.472944260E-2,1.045565605E0,1.067657313E0
7.393613660E-1,-2.041403204E-1,-8.342027664E-2,1.088001251E0,1.110125640E0
7.418564430E-1,-2.204601914E-1,-1.281447411E-1,1.123259544E0,1.151840169E0
7.443515200E-1,-1.579469442E-1,-1.775209904E-1,1.131525040E0,1.156204936E0
7.468465920E-1,-1.117548272E-1,-2.496361732E-1,1.123793602E0,1.156598210E0
7.493416690E-1,-6.948586553E-2,-2.769415379E-1,1.060696602E0,1.098454452E0
7.518367460E-1,1.489681005E-2,-3.209369183E-1,9.945316315E-1,1.045139027E0
7.543318230E-1,1.204522997E-1,-3.515262604E-1,8.693857193E-1,9.454686654E-1
7.568269000E-1,2.203354090E-1,-4.016308784E-1,7.120866776E-1,8.467127561E-1
7.593219720E-1,2.975720167E-1,-4.122936726E-1,5.090999603E-1,7.195261963E-1
